Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
abstract-print-shirt,Abstract Print Shirt,"<p>Relaxed-fit shirt crafted from 100% breathable organic cotton lawn. Features a camp collar, short sleeves, and a clean button-up front. Detailed with minimalist fine-line nature embroidery depicting an elegant heron and wildflower botanical motifs. Tailored for effortless contemporary styling in the Summer 2026 collection.</p>",XIV,Apparel & Accessories > Clothing > Shirts & Tops,Shirts,"Shirts, Graphic, Heron, Summer 2026, Men, Best Sellers, Featured",TRUE,Color,Black,Size,XS,,,ABST-BLA-XS,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 3 (2).png,1,Abstract Print Shirt - Black - XS,FALSE,Abstract Print Shirt | XIV 2026 Collection,Shop the Abstract Print Shirt from XIV Summer 2026. Premium organic fabric and relaxed tailoring.,,unisex,adult,ABST-BLA-XS,,,new,FALSE,2026,Shirts,,,,Rectangle 3 (2).png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Black,Size,S,,,ABST-BLA-S,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 5.png,2,Abstract Print Shirt - Black - S,FALSE,,,,unisex,adult,ABST-BLA-S,,,new,FALSE,2026,Shirts,,,,Rectangle 5.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Black,Size,M,,,ABST-BLA-M,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 6.png,3,Abstract Print Shirt - Black - M,FALSE,,,,unisex,adult,ABST-BLA-M,,,new,FALSE,2026,Shirts,,,,Rectangle 6.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Black,Size,L,,,ABST-BLA-L,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 7.png,4,Abstract Print Shirt - Black - L,FALSE,,,,unisex,adult,ABST-BLA-L,,,new,FALSE,2026,Shirts,,,,Rectangle 7.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Black,Size,XL,,,ABST-BLA-XL,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 8.png,5,Abstract Print Shirt - Black - XL,FALSE,,,,unisex,adult,ABST-BLA-XL,,,new,FALSE,2026,Shirts,,,,Rectangle 8.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Black,Size,2X,,,ABST-BLA-2X,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 8.png,5,Abstract Print Shirt - Black - 2X,FALSE,,,,unisex,adult,ABST-BLA-2X,,,new,FALSE,2026,Shirts,,,,Rectangle 8.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Slate Grey,Size,XS,,,ABST-SLA-XS,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 8.png,5,Abstract Print Shirt - Slate Grey - XS,FALSE,,,,unisex,adult,ABST-SLA-XS,,,new,FALSE,2026,Shirts,,,,Rectangle 8.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Slate Grey,Size,S,,,ABST-SLA-S,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 8.png,5,Abstract Print Shirt - Slate Grey - S,FALSE,,,,unisex,adult,ABST-SLA-S,,,new,FALSE,2026,Shirts,,,,Rectangle 8.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Slate Grey,Size,M,,,ABST-SLA-M,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 8.png,5,Abstract Print Shirt - Slate Grey - M,FALSE,,,,unisex,adult,ABST-SLA-M,,,new,FALSE,2026,Shirts,,,,Rectangle 8.png,g,,39.6,active
abstract-print-shirt,,,,,,,TRUE,Color,Slate Grey,Size,L,,,ABST-SLA-L,450,shopify,50,deny,manual,99.00,129.00,TRUE,TRUE,,Rectangle 8.png,5,Abstract Print Shirt - Slate Grey - L,FALSE,,,,unisex,adult,ABST-SLA-L,,,new,FALSE,2026,Shirts,,,,Rectangle 8.png,g,,39.6,active
